CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,SupportTickets,LoginFrequency,AvgSessionTime,LastActivityDays,SatisfactionScore,Churn
100025,Male,21,72,1515,109080,Yearly,Credit Card,7,22,91.02,24,3,Yes
100026,Male,21,8,2475,19800,Yearly,Credit Card,9,2,102.9,64,8,Yes
100027,Male,55,9,791,7119,Yearly,Credit Card,1,20,76.23,51,4,Yes
100028,Female,31,54,1595,86130,Yearly,Bank Transfer,9,22,32.45,66,10,No
100029,Male,18,51,1595,81345,Quarterly,Credit Card,10,5,13.42,58,5,No
100030,Male,41,28,581,16268,Quarterly,UPI,4,17,55.39,44,3,Yes
100031,Male,60,70,2466,172620,Yearly,Bank Transfer,4,23,112.15,83,10,No
100032,Male,35,14,738,10332,Quarterly,UPI,2,29,87.53,14,5,No
100033,Female,21,27,2301,62127,Monthly,Debit Card,10,22,100.38,64,5,No
100034,Male,65,6,1372,8232,Quarterly,Debit Card,5,1,69.5,81,3,Yes
100035,Male,45,15,1812,27180,Monthly,Credit Card,2,3,40.45,4,9,No
100036,Male,40,6,1322,7932,Yearly,Debit Card,5,29,116.99,87,4,Yes
100037,Male,29,20,1988,39760,Yearly,Bank Transfer,3,30,94.97,22,3,No
100038,Male,42,53,952,50456,Monthly,Debit Card,10,26,30.58,34,4,Yes
100039,Male,43,59,396,23364,Quarterly,Bank Transfer,4,12,104.4,28,4,No
100040,Female,19,36,2496,89856,Monthly,Bank Transfer,10,12,25.54,51,9,No
100041,Female,45,34,1715,58310,Yearly,Credit Card,1,2,49.3,55,10,Yes
100042,Male,41,25,2429,60725,Quarterly,Credit Card,0,9,114.12,0,7,No
100043,Female,60,43,2377,102211,Quarterly,Bank Transfer,5,20,51.28,38,2,Yes
100044,Male,57,38,1852,70376,Yearly,Bank Transfer,2,18,51.7,53,4,Yes
100045,Female,47,1,2675,2675,Quarterly,Debit Card,4,10,82.7,55,4,Yes
100046,Female,23,66,2411,159126,Monthly,Bank Transfer,2,16,30.83,36,2,Yes
100047,Male,47,26,2246,58396,Quarterly,UPI,0,5,87.61,31,1,Yes
100048,Male,66,50,2987,149350,Monthly,Debit Card,6,16,30.17,18,4,Yes
100049,Female,26,67,797,53399,Quarterly,Bank Transfer,0,15,114.25,31,9,No
100050,Male,65,57,2126,121182,Quarterly,Debit Card,8,20,34.81,70,7,No
100051,Male,35,32,2284,73088,Quarterly,Credit Card,10,27,87.06,66,5,No
100052,Male,27,31,630,19530,Monthly,Debit Card,5,9,84.8,69,6,No
100053,Female,44,28,2522,70616,Monthly,UPI,6,3,100.78,42,7,Yes
100054,Female,18,50,1858,92900,Quarterly,Bank Transfer,9,29,91.65,73,1,Yes
100055,Male,35,54,2299,124146,Quarterly,Debit Card,8,18,8.34,28,10,No
100056,Male,57,44,2214,97416,Yearly,Credit Card,10,22,109.3,21,7,No
100057,Male,21,4,2191,8764,Quarterly,Debit Card,10,3,42.65,17,7,Yes
100058,Female,23,59,2026,119534,Quarterly,Credit Card,5,11,91.14,35,7,No
100059,Male,33,7,464,3248,Monthly,Credit Card,3,12,76.45,83,2,Yes
100060,Female,62,31,1192,36952,Quarterly,Bank Transfer,7,5,24.3,72,2,Yes
100061,Male,37,15,2670,40050,Yearly,Debit Card,2,25,50.62,13,5,No
100062,Male,68,26,1535,39910,Yearly,Credit Card,9,3,44.93,13,4,Yes
100063,Female,18,55,2952,162360,Quarterly,Debit Card,5,22,17.14,64,2,Yes
100064,Female,57,47,1021,47987,Yearly,Debit Card,7,21,58.46,55,3,Yes
100065,Male,66,35,2146,75110,Quarterly,Debit Card,3,11,43.69,35,2,Yes
100066,Female,69,64,1168,74752,Quarterly,Bank Transfer,5,28,37.16,62,3,Yes
100067,Male,64,36,650,23400,Quarterly,Debit Card,0,18,68.85,24,9,No
100068,Male,36,31,370,11470,Monthly,Debit Card,7,23,84.56,57,8,No
100069,Female,45,40,2567,102680,Yearly,Bank Transfer,9,22,45.46,60,6,No
100070,Male,38,59,794,46846,Monthly,UPI,4,9,27.03,29,5,No
100071,Male,30,62,1459,90458,Quarterly,UPI,9,9,46.5,76,9,No
100072,Male,53,39,486,18954,Quarterly,UPI,8,1,78.36,35,3,Yes
100073,Female,46,63,2222,139986,Quarterly,UPI,0,4,116.03,36,10,Yes
100074,Female,22,33,1941,64053,Yearly,Credit Card,7,28,22.45,8,2,Yes
100075,Male,67,39,2004,78156,Yearly,Debit Card,3,3,56.81,71,2,Yes
100076,Male,57,57,2629,149853,Yearly,Credit Card,9,10,113.97,39,7,No
100077,Male,33,27,632,17064,Monthly,Credit Card,3,21,23.0,84,5,No
100078,Male,36,53,433,22949,Yearly,Bank Transfer,9,15,85.84,37,8,No
100079,Male,45,59,2860,168740,Monthly,UPI,10,3,79.48,33,4,Yes
100080,Female,56,35,979,34265,Yearly,Bank Transfer,2,27,55.5,7,2,No
100081,Female,46,60,2349,140940,Monthly,Credit Card,4,23,107.28,34,7,No
100082,Male,66,42,1237,51954,Yearly,Bank Transfer,4,20,71.27,11,1,No
100083,Female,58,23,1043,23989,Quarterly,Credit Card,8,16,59.05,35,8,No
100084,Female,62,53,1650,87450,Quarterly,Bank Transfer,5,11,81.2,20,2,No
100085,Female,34,52,660,34320,Quarterly,Credit Card,8,27,116.57,58,1,Yes
100086,Female,44,52,2522,131144,Monthly,UPI,8,28,64.62,84,1,Yes
100087,Male,36,64,1393,89152,Quarterly,Debit Card,7,21,18.96,26,1,Yes
100088,Female,23,31,356,11036,Monthly,Credit Card,2,23,58.07,70,5,No
100089,Female,44,16,2384,38144,Quarterly,Debit Card,2,21,33.03,37,8,No
100090,Male,22,71,2381,169051,Quarterly,Debit Card,6,5,44.09,76,4,Yes
100091,Female,27,65,2704,175760,Quarterly,Debit Card,0,9,44.69,38,5,No
100092,Male,62,71,1618,114878,Monthly,Debit Card,8,25,31.86,58,7,No
100093,Female,60,53,1861,98633,Yearly,UPI,5,2,61.96,90,8,Yes
100094,Female,24,5,711,3555,Yearly,Debit Card,8,5,6.76,42,10,No
100095,Female,39,19,2223,42237,Yearly,Debit Card,10,14,79.73,9,3,Yes
100096,Female,52,43,1597,68671,Monthly,Credit Card,10,28,32.0,48,9,No
100097,Male,46,37,2895,107115,Monthly,Bank Transfer,1,8,108.89,12,7,No
100098,Female,27,6,1835,11010,Monthly,Debit Card,0,11,70.08,45,5,No
100099,Male,49,24,1866,44784,Yearly,UPI,2,6,31.7,78,2,Yes
100100,Male,22,33,1478,48774,Quarterly,Bank Transfer,4,15,118.58,59,1,Yes
100101,Male,42,39,1537,59943,Quarterly,Credit Card,6,21,32.28,58,5,No
100102,Female,35,46,2996,137816,Monthly,Credit Card,4,19,109.72,2,5,No
100103,Male,58,64,1743,111552,Monthly,Bank Transfer,4,27,82.94,77,4,Yes
100104,Male,55,18,2105,37890,Quarterly,UPI,1,21,15.37,39,1,Yes
100105,Female,51,38,841,31958,Yearly,Bank Transfer,6,11,100.5,25,3,Yes
100106,Female,22,33,771,25443,Monthly,UPI,7,30,103.92,43,5,No
100107,Male,34,51,1916,97716,Yearly,Credit Card,8,28,57.3,11,6,No
100108,Female,19,34,1257,42738,Yearly,Bank Transfer,6,19,110.25,13,6,No
100109,Female,25,29,1537,44573,Monthly,Credit Card,1,21,113.82,89,8,No
100110,Male,42,39,2501,97539,Quarterly,Bank Transfer,1,16,82.11,30,2,No
100111,Male,49,70,2982,208740,Yearly,Debit Card,9,14,112.99,53,3,Yes
100112,Male,41,36,2121,76356,Monthly,Bank Transfer,5,2,67.61,56,4,Yes
100113,Female,23,46,800,36800,Yearly,UPI,6,2,78.8,24,5,Yes
100114,Male,22,3,2612,7836,Yearly,UPI,5,2,72.43,16,4,Yes
100115,Male,26,30,1435,43050,Yearly,Bank Transfer,2,11,96.83,0,10,No
100116,Male,55,15,1767,26505,Quarterly,Credit Card,0,22,25.04,1,3,No
100117,Female,46,7,560,3920,Quarterly,Credit Card,6,5,56.98,14,9,No
100118,Male,21,29,2176,63104,Quarterly,Debit Card,0,20,54.02,38,9,No
100119,Male,22,14,1619,22666,Monthly,Bank Transfer,7,16,76.8,10,2,Yes
100120,Female,47,71,2473,175583,Yearly,Debit Card,5,23,16.41,76,7,No
100121,Female,32,15,2061,30915,Quarterly,Bank Transfer,10,28,100.15,27,9,No
100122,Female,41,52,1580,82160,Monthly,Debit Card,1,14,12.72,54,6,No
100123,Male,55,11,832,9152,Yearly,Bank Transfer,6,3,82.05,47,2,Yes
100124,Female,40,53,1478,78334,Monthly,UPI,10,12,22.79,6,7,No
100125,Male,66,62,1805,111910,Quarterly,UPI,1,8,97.83,71,6,No
100126,Male,56,72,2932,211104,Yearly,Bank Transfer,9,25,8.33,86,10,No
100127,Male,27,35,325,11375,Yearly,Debit Card,4,23,13.0,44,6,No
100128,Female,39,4,2019,8076,Monthly,Bank Transfer,8,3,40.84,48,4,Yes
100129,Male,28,42,515,21630,Yearly,Credit Card,9,25,82.51,10,10,No
100130,Female,44,35,2786,97510,Quarterly,UPI,10,15,91.82,62,7,No
100131,Female,51,15,2729,40935,Yearly,Bank Transfer,6,12,10.22,36,2,Yes
100132,Male,67,51,1534,78234,Monthly,Bank Transfer,0,20,38.29,26,1,No
100133,Female,52,16,829,13264,Yearly,UPI,7,1,62.53,22,7,Yes
100134,Female,22,46,376,17296,Quarterly,Debit Card,6,3,70.94,55,1,Yes
100135,Male,69,54,1630,88020,Yearly,Debit Card,1,10,100.68,2,7,No
100136,Female,51,47,2084,97948,Monthly,Debit Card,6,3,105.11,31,2,Yes
100137,Male,51,44,2390,105160,Yearly,UPI,5,8,109.18,9,3,No
100138,Male,34,45,721,32445,Monthly,UPI,10,12,74.28,30,3,Yes
100139,Female,61,10,2609,26090,Yearly,Bank Transfer,10,6,104.39,59,8,No
100140,Female,68,41,2111,86551,Quarterly,Credit Card,7,5,45.47,60,2,Yes
100141,Female,36,10,533,5330,Monthly,Credit Card,7,10,75.73,4,8,No
100142,Female,69,65,468,30420,Yearly,UPI,7,13,41.98,70,10,No
100143,Female,63,61,723,44103,Monthly,UPI,2,17,9.5,57,1,Yes
100144,Female,41,57,950,54150,Quarterly,Debit Card,8,15,52.01,78,9,No
100145,Female,22,44,2951,129844,Quarterly,Credit Card,9,22,69.17,80,1,Yes
100146,Male,55,50,1665,83250,Yearly,UPI,4,10,110.43,19,10,No
100147,Male,37,40,2737,109480,Yearly,Debit Card,10,21,79.0,16,7,No
100148,Female,50,43,2946,126678,Quarterly,Credit Card,2,27,46.7,11,9,No
100149,Male,27,24,1227,29448,Monthly,Bank Transfer,5,7,102.11,24,8,No
100150,Male,56,13,1679,21827,Quarterly,UPI,8,17,23.66,4,9,No
100151,Male,46,22,1792,39424,Yearly,Bank Transfer,7,24,91.52,52,1,Yes
100152,Male,41,58,2221,128818,Yearly,Debit Card,8,8,58.09,39,4,Yes
100153,Male,70,37,2014,74518,Monthly,UPI,6,25,105.4,67,9,No
100154,Male,36,7,720,5040,Monthly,UPI,7,21,36.37,70,6,No
100155,Female,19,66,2147,141702,Quarterly,Credit Card,6,5,50.59,28,2,Yes
100156,Male,38,48,1219,58512,Monthly,Bank Transfer,6,8,96.01,47,2,Yes
100157,Female,46,18,868,15624,Yearly,Credit Card,4,2,109.17,89,8,Yes
100158,Female,25,3,2793,8379,Quarterly,UPI,3,9,39.63,70,3,Yes
100159,Male,49,7,557,3899,Yearly,Credit Card,6,8,77.67,58,10,No
100160,Female,33,31,306,9486,Yearly,Debit Card,2,23,26.54,54,5,No
100161,Male,42,11,2528,27808,Quarterly,Credit Card,5,17,78.1,67,2,Yes
100162,Male,64,48,1712,82176,Yearly,Credit Card,0,9,93.72,8,6,No
100163,Male,67,43,1686,72498,Yearly,Debit Card,0,5,117.79,69,6,No
100164,Male,36,62,2174,134788,Monthly,Credit Card,2,21,95.98,8,3,No
100165,Female,34,6,2524,15144,Monthly,UPI,4,11,37.9,50,9,No
100166,Female,45,7,809,5663,Quarterly,Debit Card,10,28,107.88,34,6,No
100167,Female,69,50,2337,116850,Yearly,Bank Transfer,2,11,97.13,88,8,No
100168,Female,38,55,2534,139370,Monthly,Credit Card,6,3,42.71,23,10,Yes
100169,Female,40,38,982,37316,Quarterly,Credit Card,7,10,88.58,54,10,No
100170,Male,60,46,534,24564,Yearly,Debit Card,6,20,46.78,81,5,No
100171,Male,26,21,2094,43974,Monthly,UPI,2,1,94.53,86,10,Yes
100172,Male,61,47,2778,130566,Quarterly,Bank Transfer,6,12,47.78,4,10,No
100173,Female,59,10,1930,19300,Quarterly,UPI,2,19,115.46,46,9,No
100174,Male,34,4,1885,7540,Quarterly,Debit Card,2,24,29.68,66,8,No
100175,Male,46,37,855,31635,Monthly,Debit Card,7,23,119.69,15,4,Yes
100176,Female,37,41,2520,103320,Monthly,UPI,5,22,96.28,70,2,Yes
100177,Female,19,66,1269,83754,Quarterly,Bank Transfer,1,8,58.75,17,4,No
100178,Female,63,71,1566,111186,Yearly,Debit Card,9,5,65.46,8,2,Yes
100179,Male,46,53,1598,84694,Quarterly,Bank Transfer,9,27,19.76,16,2,Yes
100180,Male,25,71,2072,147112,Yearly,UPI,9,21,39.97,16,3,Yes
100181,Male,34,21,1463,30723,Monthly,Bank Transfer,3,11,19.39,66,6,No
100182,Male,55,39,2925,114075,Yearly,UPI,8,20,24.69,64,2,Yes
100183,Male,59,44,632,27808,Yearly,Bank Transfer,9,27,79.88,3,1,Yes
100184,Female,59,54,2868,154872,Quarterly,Debit Card,10,20,33.16,63,1,Yes
100185,Male,46,52,545,28340,Quarterly,Debit Card,7,10,58.41,88,2,Yes
100186,Female,26,44,1714,75416,Quarterly,Credit Card,2,20,41.7,40,6,No
100187,Male,21,60,877,52620,Quarterly,Debit Card,4,4,104.38,31,8,Yes
100188,Male,66,54,1580,85320,Monthly,Debit Card,2,8,119.54,73,6,No
100189,Female,50,60,668,40080,Quarterly,UPI,4,16,29.74,2,8,No
100190,Female,36,46,2747,126362,Yearly,Credit Card,0,2,102.42,63,5,Yes
100191,Male,43,56,1798,100688,Monthly,UPI,4,5,46.69,51,6,No
100192,Female,70,37,2552,94424,Yearly,Credit Card,6,3,19.8,57,9,Yes
100193,Male,30,13,1797,23361,Yearly,Debit Card,5,13,62.51,71,6,No
100194,Female,27,6,2427,14562,Yearly,UPI,2,2,42.72,60,6,Yes
100195,Female,50,41,2731,111971,Yearly,Debit Card,6,6,86.51,38,10,No
100196,Female,55,39,748,29172,Quarterly,Credit Card,0,16,73.64,42,6,No
100197,Female,28,34,510,17340,Yearly,Debit Card,9,21,21.99,29,10,No
100198,Female,38,32,377,12064,Quarterly,UPI,9,2,52.49,24,2,Yes
100199,Male,51,27,555,14985,Monthly,Bank Transfer,8,14,119.78,60,10,No
100200,Female,52,62,2182,135284,Quarterly,Bank Transfer,6,17,75.16,22,6,No
100201,Female,67,25,1221,30525,Quarterly,UPI,4,8,84.38,38,9,No
100202,Female,25,63,1420,89460,Yearly,Debit Card,7,11,108.01,71,6,No
100203,Female,63,51,472,24072,Monthly,Bank Transfer,5,27,111.26,37,3,Yes
100204,Female,53,33,2506,82698,Yearly,Bank Transfer,7,24,20.79,25,4,Yes
100205,Male,21,31,2913,90303,Monthly,Debit Card,0,8,42.98,28,9,No
100206,Male,44,61,2554,155794,Yearly,Debit Card,10,4,59.91,0,3,Yes
100207,Male,67,26,2945,76570,Monthly,UPI,4,25,66.54,36,6,No
100208,Female,68,5,448,2240,Quarterly,UPI,2,30,112.71,22,7,No
100209,Male,39,38,2626,99788,Quarterly,Debit Card,0,29,118.75,38,1,Yes
100210,Female,30,70,2217,155190,Monthly,Bank Transfer,7,17,23.69,64,3,Yes
100211,Female,54,59,1680,99120,Yearly,UPI,4,21,25.18,1,3,No
100212,Female,60,52,655,34060,Monthly,UPI,6,27,117.89,41,9,No
100213,Male,46,62,1871,116002,Quarterly,Bank Transfer,3,11,39.72,33,1,Yes
100214,Male,60,2,1267,2534,Monthly,Debit Card,10,9,40.28,88,6,No
100215,Female,41,52,780,40560,Yearly,UPI,8,22,30.2,88,5,No
100216,Female,62,18,1830,32940,Yearly,Debit Card,2,16,92.1,77,8,No
100217,Female,51,28,2452,68656,Yearly,Bank Transfer,3,25,13.98,10,10,No
100218,Male,28,15,2645,39675,Quarterly,Debit Card,8,2,18.37,25,9,Yes
100219,Female,69,27,2390,64530,Monthly,Debit Card,9,23,20.17,11,8,No
100220,Female,64,54,2193,118422,Monthly,Debit Card,9,15,34.26,71,1,Yes
100221,Female,40,1,485,485,Yearly,Credit Card,3,24,67.23,9,10,No
100222,Female,29,8,1475,11800,Monthly,Debit Card,1,30,48.06,4,8,No
100223,Male,59,49,2508,122892,Quarterly,Credit Card,6,15,25.52,10,7,No
100224,Male,37,69,314,21666,Quarterly,Debit Card,8,13,66.17,28,3,Yes
100225,Male,64,30,1429,42870,Monthly,Credit Card,7,8,98.09,19,6,No
100226,Male,56,54,575,31050,Monthly,Debit Card,0,20,73.75,26,4,No
100227,Male,66,7,1259,8813,Monthly,UPI,0,8,62.95,56,7,No
100228,Female,33,38,2749,104462,Quarterly,UPI,9,8,118.35,73,6,No
100229,Male,58,67,549,36783,Yearly,Debit Card,6,8,68.92,35,5,No
100230,Female,44,7,1605,11235,Monthly,Bank Transfer,10,12,48.29,67,7,No
100231,Female,21,69,891,61479,Yearly,Debit Card,3,16,116.3,38,4,Yes
100232,Male,39,72,1344,96768,Yearly,Credit Card,2,17,111.06,31,7,No
100233,Female,61,48,1399,67152,Yearly,Credit Card,8,3,105.47,6,4,Yes
100234,Male,39,25,2263,56575,Quarterly,Credit Card,9,26,29.36,27,9,No
100235,Male,43,25,2775,69375,Monthly,Bank Transfer,1,24,94.18,31,8,No
100236,Female,50,49,1371,67179,Quarterly,Debit Card,8,15,16.34,39,6,No
100237,Female,20,61,1581,96441,Yearly,UPI,5,25,90.24,47,4,Yes
100238,Female,27,3,2010,6030,Monthly,Bank Transfer,8,9,31.45,74,10,No
100239,Female,47,32,2301,73632,Monthly,Bank Transfer,8,16,24.47,32,6,No
100240,Male,22,70,540,37800,Yearly,Credit Card,2,16,92.9,82,9,No
100241,Male,31,53,918,48654,Yearly,Debit Card,10,5,47.92,8,4,Yes
100242,Female,18,62,2479,153698,Monthly,Bank Transfer,7,22,66.61,0,1,Yes
100243,Male,51,37,738,27306,Monthly,UPI,8,1,27.07,22,7,Yes
100244,Female,43,68,623,42364,Quarterly,UPI,5,9,118.88,50,5,No
100245,Male,23,29,2961,85869,Quarterly,Debit Card,10,10,48.37,83,2,Yes
100246,Male,49,61,1001,61061,Quarterly,Bank Transfer,10,2,70.07,89,1,Yes
100247,Female,35,13,1165,15145,Monthly,Credit Card,8,29,83.71,29,1,Yes
100248,Male,38,36,434,15624,Monthly,UPI,8,29,72.51,84,10,No
100249,Male,54,51,2609,133059,Quarterly,Bank Transfer,1,30,49.14,20,5,No
100250,Male,45,18,519,9342,Monthly,Credit Card,1,26,44.17,44,9,No
100251,Female,49,51,1419,72369,Monthly,Bank Transfer,5,25,68.6,81,1,Yes
100252,Male,67,49,1856,90944,Yearly,Bank Transfer,2,14,96.78,84,10,No
100253,Male,65,10,2896,28960,Quarterly,Bank Transfer,4,3,46.48,48,3,Yes
100254,Male,26,12,1404,16848,Monthly,UPI,4,1,54.56,46,8,Yes
100255,Male,40,72,407,29304,Yearly,Credit Card,8,18,73.65,13,7,No
100256,Female,67,42,1994,83748,Monthly,UPI,6,28,70.78,37,1,Yes
100257,Female,35,22,1401,30822,Quarterly,UPI,6,22,12.28,17,3,Yes
100258,Female,34,56,615,34440,Monthly,Debit Card,6,9,73.29,61,5,No
100259,Female,39,26,327,8502,Yearly,Debit Card,1,15,97.47,38,3,Yes
100260,Male,37,43,2734,117562,Quarterly,UPI,5,15,60.09,83,7,No
100261,Female,54,23,2892,66516,Monthly,Bank Transfer,5,13,48.25,88,5,No
100262,Male,61,51,2725,138975,Yearly,Credit Card,1,12,114.6,25,10,No
100263,Female,61,60,583,34980,Quarterly,UPI,3,23,77.83,37,8,No
100264,Male,46,31,1844,57164,Yearly,Debit Card,10,9,71.96,54,3,Yes
100265,Male,24,69,1772,122268,Monthly,Bank Transfer,6,17,24.13,4,9,No
100266,Male,18,6,2063,12378,Monthly,Bank Transfer,10,19,30.53,42,7,No
100267,Female,43,67,2125,142375,Quarterly,UPI,9,18,44.67,28,10,No
100268,Male,64,4,651,2604,Monthly,Bank Transfer,1,16,40.87,53,5,No
100269,Female,24,59,1726,101834,Quarterly,Debit Card,3,26,41.67,61,9,No
100270,Male,61,39,2954,115206,Monthly,UPI,1,2,64.34,43,1,Yes
100271,Male,69,71,2192,155632,Quarterly,UPI,5,6,26.43,54,9,No
100272,Female,42,56,2141,119896,Monthly,UPI,0,13,28.67,25,10,No
100273,Female,30,9,1798,16182,Quarterly,Credit Card,1,19,35.17,23,9,No
100274,Female,55,63,1891,119133,Monthly,Bank Transfer,10,17,45.48,76,6,No
100275,Male,61,59,2717,160303,Monthly,Bank Transfer,2,20,18.55,78,5,No
100276,Female,44,40,879,35160,Yearly,UPI,2,4,71.1,88,6,Yes
100277,Male,53,55,2942,161810,Monthly,Debit Card,7,6,38.22,88,9,No
100278,Male,49,24,1770,42480,Monthly,UPI,7,11,98.75,6,10,No
100279,Female,63,72,2314,166608,Quarterly,Debit Card,10,17,24.23,52,8,No
100280,Male,52,4,1425,5700,Quarterly,UPI,3,26,94.79,4,5,No
100281,Female,67,64,767,49088,Yearly,Bank Transfer,8,18,67.33,73,2,Yes
100282,Male,65,6,2041,12246,Yearly,UPI,7,25,39.24,27,9,No
100283,Male,67,5,2098,10490,Monthly,UPI,4,15,98.23,11,6,No
100284,Male,68,45,2823,127035,Monthly,UPI,9,28,97.63,21,7,No
100285,Female,63,45,989,44505,Quarterly,Bank Transfer,4,18,70.86,68,10,No
100286,Male,35,66,1985,131010,Yearly,UPI,10,29,85.66,17,2,Yes
100287,Female,27,17,1908,32436,Yearly,Bank Transfer,2,8,77.2,31,6,No
100288,Female,62,49,2411,118139,Quarterly,Debit Card,1,15,114.28,51,2,Yes
100289,Female,22,42,2900,121800,Yearly,Debit Card,0,19,30.05,58,2,Yes
100290,Female,39,55,1622,89210,Yearly,UPI,3,27,70.11,34,8,No
100291,Female,19,63,707,44541,Monthly,UPI,5,26,55.75,5,1,No
100292,Male,35,1,1536,1536,Monthly,Bank Transfer,3,14,33.79,83,3,Yes
100293,Female,64,48,1923,92304,Yearly,UPI,10,22,54.36,6,3,Yes
100294,Male,26,12,2253,27036,Yearly,UPI,1,23,64.74,27,1,No
100295,Male,48,57,2029,115653,Monthly,UPI,0,1,49.05,15,6,No
100296,Female,67,14,861,12054,Monthly,UPI,5,4,12.87,38,6,Yes
100297,Male,58,2,1738,3476,Yearly,UPI,10,20,110.79,56,3,Yes
100298,Male,55,57,873,49761,Yearly,Debit Card,3,28,45.43,12,2,No
100299,Male,33,55,2940,161700,Yearly,Bank Transfer,2,11,94.58,35,4,Yes
100300,Male,65,4,2420,9680,Quarterly,Bank Transfer,10,28,79.31,26,5,No
100301,Male,51,31,2346,72726,Monthly,Bank Transfer,6,16,112.4,30,2,Yes
100302,Male,66,17,2537,43129,Quarterly,Credit Card,9,13,6.92,46,7,No
100303,Female,50,9,547,4923,Quarterly,Debit Card,4,1,53.71,5,4,Yes
100304,Male,35,52,2823,146796,Monthly,Bank Transfer,10,3,14.09,68,9,Yes
100305,Male,37,27,1900,51300,Yearly,Debit Card,2,26,88.95,41,9,No
100306,Female,57,31,775,24025,Yearly,Credit Card,3,2,40.57,55,2,Yes
100307,Male,49,23,346,7958,Quarterly,Bank Transfer,0,4,24.2,89,3,Yes
100308,Female,35,17,1672,28424,Yearly,Credit Card,4,24,35.24,3,2,No
100309,Female,54,10,527,5270,Monthly,Bank Transfer,7,16,23.09,46,9,No
100310,Male,20,14,2384,33376,Monthly,UPI,9,29,10.29,29,2,Yes
100311,Female,32,47,2564,120508,Quarterly,UPI,2,13,52.87,4,3,No
100312,Male,29,41,789,32349,Monthly,Credit Card,1,9,114.72,47,10,No
100313,Male,53,9,1640,14760,Quarterly,Credit Card,7,29,47.43,39,5,No
100314,Female,55,38,2200,83600,Quarterly,UPI,4,19,89.23,31,10,No
100315,Male,32,70,1979,138530,Yearly,Bank Transfer,3,25,78.13,0,3,No
100316,Male,51,2,725,1450,Monthly,Debit Card,0,11,61.58,39,7,No
100317,Female,62,8,1248,9984,Quarterly,Debit Card,4,5,117.07,5,2,No
100318,Female,22,11,2910,32010,Yearly,Credit Card,1,19,55.02,17,9,No
100319,Female,38,17,1909,32453,Quarterly,Bank Transfer,4,8,31.87,40,5,No
100320,Male,46,26,732,19032,Quarterly,Bank Transfer,9,5,51.75,19,2,Yes
100321,Female,25,69,2197,151593,Monthly,UPI,3,12,97.87,39,8,No
100322,Male,23,39,1642,64038,Yearly,UPI,9,27,116.37,27,1,Yes
100323,Male,43,51,1012,51612,Quarterly,UPI,0,17,15.89,33,5,No
100324,Male,26,14,552,7728,Monthly,Debit Card,2,26,47.81,1,2,No
100325,Male,30,11,389,4279,Yearly,Debit Card,9,19,98.07,9,5,No
100326,Male,28,12,2188,26256,Yearly,Debit Card,5,29,99.49,5,2,No
100327,Male,40,51,2047,104397,Monthly,UPI,0,16,36.62,87,7,No
100328,Male,59,58,2836,164488,Quarterly,Debit Card,2,29,52.38,78,1,Yes
